item,subject,semantic,frequency,phonology,simdrop,troyer,participant
aardvark,50008,0.0001,2.606381365,0.0001,2,2,2.0
bunny,50008,0.4265821798535951,2.976,0.0001,0,1,0.0
cat,50008,0.5482780174935588,3.529,0.0001,0,1,0.0
dog,50008,0.7609456880598081,3.993,0.0001,0,0,0.0
elephant,50008,0.4060263959415505,2.764,0.0001,0,1,1.0
rat,50008,0.3945609836542934,3.221,0.1428571428571429,1,1,0.0
mouse,50008,0.4651035341635051,2.989,0.0001,0,0,1.0
marmoset,50008,0.3350923866152775,0.602,0.125,1,1,1.0
bushbaby,50008,0.3728125138526537,0.5,0.0001,0,1,1.0
snake,50008,0.3938058648571159,3.057,0.1428571428571429,0,1,1.0
donkey,50008,0.3897727879823438,2.438,0.1999999999999999,0,0,1.0
mammoth,50008,0.1990078250393606,1.613,0.0001,1,1,0.0
elephant,50008,0.3096155604747908,2.764,0.1428571428571429,0,1,1.0
rhino,50008,0.6780353545351843,2.029,0.1428571428571429,0,0,1.0
tiger,50008,0.6406094922886916,2.976,0.25,0,0,0.0
lion,50008,0.5121040691983272,2.894,0.25,0,0,1.0
antelope,50008,0.3567523128248204,1.708,0.1428571428571429,1,0,1.0
zebra,50008,0.5275653407029668,2.111,0.0001,0,0,1.0
horse,50008,0.4259969178930475,3.676,0.1999999999999999,1,1,0.0
pig,50008,0.4698113151186582,3.3,0.0001,0,0,0.0
chicken,50008,0.5867901539062853,3.498,0.1999999999999999,0,0,0.0
duck,50008,0.4774656523609281,3.102,0.1999999999999999,0,0,0.0
turkey,50008,0.4338868632314226,3.062,0.25,0,0,0.0
cow,50008,0.3552523530598344,3.115,0.25,1,0,1.0
buffalo,50008,0.5387302219272008,2.784,0.0001,0,0,1.0
goose,50008,0.4415311317690633,2.824,0.0001,1,1,0.0
duck,50008,0.5306288127278954,3.102,0.0001,0,1,1.0
skunk,50008,0.3555092138326083,2.223,0.4,1,1,1.0
squirrel,50008,0.5598835772560259,2.447,0.3333333333333333,0,0,0.0
chipmunk,50008,0.6189104024806276,1.633,0.0001,0,0,1.0
bird,50008,0.4353924491794881,3.365,0.0001,1,1,1.0
turtle,50008,0.6174386974949886,2.939,0.1999999999999999,0,1,0.0
tortoise,50008,0.6291955135165036,1.763,0.5,0,0,1.0
alligator,50008,0.4412828974055944,2.253,0.0001,1,0,0.0
crocodile,50008,0.7101820284911673,2.064,0.0001,0,0,1.0
fish,50008,0.4744032754359645,3.629,0.0001,1,1,0.0
shark,50008,0.527830852780369,2.884,0.0001,0,0,0.0
whale,50008,0.7011443060058481,2.76,0.0001,0,0,0.0
dolphin,50008,0.7711714974302293,2.152,0.1666666666666666,0,0,1.0
chimpanzee,50008,0.343085167255396,1.799,0.125,1,1,0.0
gorilla,50008,0.6095555546288506,2.453,0.0001,2,2,0.0
monkey,50008,0.6353992831161621,3.233,0.0001,2,2,1.0
snake,50010,0.0001,3.057,0.0001,2,2,2.0
giraffe,50010,0.4824131502015479,1.887,0.0001,0,1,1.0
bearded_dragon,50010,0.4978040513678489,2.167317335,0.0833333333333333,0,1,1.0
dog,50010,0.4713421417167411,3.993,0.1666666666666666,1,1,1.0
cat,50010,0.7609456880598081,3.529,0.0001,0,0,0.0
snail,50010,0.3266347163721785,1.959,0.0001,1,1,1.0
fish,50010,0.4015319986229528,3.629,0.0001,0,0,1.0
salmon,50010,0.7214173983933876,2.525,0.0001,0,0,0.0
lion,50010,0.1949132925615037,2.894,0.4,1,1,1.0
tiger,50010,0.5121040691983272,2.976,0.25,0,0,0.0
cheetah,50010,0.5816307820853203,2.072,0.0001,0,0,0.0
elephant,50010,0.5285003499478402,2.764,0.1428571428571429,1,0,1.0
rhino,50010,0.6780353545351843,2.029,0.1428571428571429,0,0,1.0
moose,50010,0.4769692649771215,2.452,0.0001,1,1,1.0
deer,50010,0.757547680273972,2.648,0.0001,0,0,0.0
bird,50010,0.5600442920432211,3.365,0.0001,0,1,1.0
eagle,50010,0.4758333700097161,2.769,0.0001,0,0,0.0
salmon,50010,0.2367194446793311,2.525,0.1999999999999999,1,1,1.0
squirrel,50010,0.3614479610617994,2.447,0.3333333333333333,0,1,1.0
leopard,50010,0.4265571782671989,2.442,0.0001,0,1,1.0
lemur,50010,0.4321887306786011,1.0,0.4,0,0,1.0
monkey,50010,0.5434155529130232,3.233,0.0001,0,0,1.0
gorilla,50010,0.6353992831161621,2.453,0.0001,0,0,0.0
chimpanzee,50010,0.6095555546288506,1.799,0.0001,0,0,0.0
bear,50010,0.301286070120193,3.467,0.0001,0,1,1.0
camel,50010,0.2684462313715906,2.41,0.0001,1,1,1.0
horse,50010,0.4992716211068411,3.676,0.0001,0,0,0.0
donkey,50010,0.570275461652168,2.438,0.0001,0,0,0.0
cow,50010,0.4932666861381836,3.115,0.1999999999999999,1,0,1.0
pig,50010,0.6542097513765606,3.3,0.0001,0,0,0.0
chicken,50010,0.5867901539062853,3.498,0.1999999999999999,0,0,0.0
rat,50010,0.3137149195512019,3.221,0.0001,1,1,1.0
raccoon,50010,0.4724345877460301,1.869,0.1999999999999999,0,1,0.0
porcupine,50010,0.5760293775510463,1.532,0.2222222222222222,0,1,1.0
hamster,50010,0.3706596822313583,2.041,0.0001,0,0,1.0
ferret,50010,0.3324018423598029,1.924,0.1666666666666666,0,1,0.0
sea_otter,50010,0.1849094096802663,2.599883072,0.0001,1,1,1.0
sea_lion,50010,0.6070530516870412,3.203304916,0.3333333333333333,0,1,0.0
polar_bear,50010,0.5045179864529591,3.822886948,0.1428571428571429,1,1,1.0
penguin,50010,0.5773203570239669,2.17,0.1428571428571429,0,1,0.0
fox,50010,0.3765430502749967,3.043,0.0001,0,1,1.0
caribou,50010,0.3499639867337815,1.204,0.0001,0,0,1.0
crocodile,50010,0.2626278886827936,2.064,0.125,1,1,1.0
alligator,50010,0.7101820284911673,2.253,0.0001,2,2,0.0
goat,50010,0.3901825151042233,2.731,0.2857142857142857,2,2,1.0
dog,50011,0.0001,3.993,0.0001,2,2,2.0
cat,50011,0.7609456880598081,3.529,0.0001,0,0,0.0
giraffe,50011,0.4794151649543577,1.887,0.25,0,1,1.0
lion,50011,0.4223703546633901,2.894,0.0001,0,0,0.0
whale,50011,0.2778653457044649,2.76,0.0001,1,1,1.0
dolphin,50011,0.7711714974302293,2.152,0.1666666666666666,0,0,0.0
mammoth,50011,0.1383486334726222,1.613,0.1666666666666666,1,1,1.0
elephant,50011,0.3096155604747908,2.764,0.1428571428571429,0,1,0.0
shark,50011,0.4081606729557012,2.884,0.0001,0,1,1.0
fish,50011,0.527830852780369,3.629,0.0001,0,0,0.0
crab,50011,0.630236385836742,2.548,0.0001,0,0,0.0
peacock,50011,0.3032463374973537,2.418,0.0001,0,1,1.0
camel,50011,0.288112670343025,2.41,0.0001,1,1,1.0
horse,50011,0.4992716211068411,3.676,0.0001,0,0,1.0
cow,50011,0.4936100569178947,3.115,0.0001,0,0,0.0
